order_id,customer_id,order_date,order_status
97,51,2025-03-27,Delivered
98,78,2025-08-08,Delivered
99,94,2025-08-26,Returned
100,69,2025-07-23,Delivered
101,90,2025-12-07,Delivered
102,33,2025-09-11,Delivered
103,23,2025-09-07,Delivered
104,69,2025-04-10,Delivered
105,95,2025-09-07,Cancelled
106,96,2025-09-14,Delivered
107,4,2025-01-16,Delivered
108,2,2025-06-09,Cancelled
109,24,2025-06-27,Delivered
110,33,2025-06-28,Delivered
111,12,2025-11-19,Delivered
112,40,2025-11-26,Delivered
113,29,2025-01-12,Delivered
114,2,2025-09-10,Delivered
115,35,2025-08-03,Delivered
116,8,2025-04-03,Delivered
117,90,2025-04-25,Delivered
118,68,2025-11-10,Delivered
119,75,2025-08-05,Delivered
120,36,2025-12-23,Delivered
121,64,2025-08-15,Returned
122,36,2025-04-06,Delivered
123,62,2025-08-12,Delivered
124,55,2025-01-13,Delivered
125,99,2025-12-27,Delivered
126,62,2025-03-25,Delivered
127,86,2025-07-06,Delivered
128,100,2025-08-21,Delivered
129,9,2025-10-11,Returned
130,52,2025-12-05,Delivered
131,16,2025-03-10,Delivered
132,25,2025-02-22,Delivered
133,57,2025-02-08,Delivered
134,42,2025-07-05,Delivered
135,95,2025-05-02,Delivered
136,87,2025-08-09,Delivered
137,18,2025-08-27,Delivered
138,74,2025-09-10,Delivered
139,46,2025-05-21,Delivered
140,9,2025-10-10,Delivered
141,5,2025-01-29,Delivered
142,83,2025-05-16,Delivered
143,65,2025-12-08,Delivered
144,71,2025-08-05,Delivered
145,36,2025-03-11,Delivered
146,19,2025-12-30,Delivered
147,91,2025-07-21,Cancelled
148,39,2025-05-06,Delivered
149,13,2025-08-30,Delivered
150,58,2025-05-28,Delivered
151,61,2025-12-27,Delivered
152,3,2025-12-14,Returned
153,63,2025-11-08,Delivered
154,6,2025-02-27,Delivered
155,32,2025-06-22,Delivered
156,21,2025-03-21,Delivered
157,75,2025-09-09,Delivered
158,99,2025-05-27,Returned
159,18,2025-02-16,Delivered
160,14,2025-05-23,Delivered
161,54,2025-09-16,Cancelled
162,57,2025-01-12,Returned
163,16,2025-12-24,Delivered
164,28,2025-01-08,Delivered
165,36,2025-03-31,Delivered
166,60,2025-06-27,Delivered
167,41,2025-08-16,Returned
168,63,2025-05-25,Delivered
169,84,2025-08-08,Delivered
170,13,2025-02-15,Delivered
171,6,2025-03-23,Delivered
172,69,2025-10-30,Cancelled
173,10,2025-11-08,Cancelled
174,5,2025-04-29,Delivered
175,65,2025-05-26,Returned
176,49,2025-09-24,Delivered
177,63,2025-08-05,Returned
178,27,2025-06-26,Delivered
179,98,2025-04-15,Delivered
180,1,2025-11-07,Delivered
181,81,2025-07-16,Returned
182,3,2025-01-23,Delivered
183,37,2025-07-21,Delivered
184,17,2025-03-26,Delivered
185,1,2025-02-20,Delivered
186,4,2025-10-15,Delivered
187,95,2025-03-13,Delivered
188,34,2025-04-28,Delivered
189,50,2025-09-25,Delivered
190,5,2025-08-10,Delivered
191,17,2025-04-22,Delivered
192,23,2025-07-26,Delivered
193,14,2025-03-07,Delivered
194,38,2025-07-11,Delivered
195,38,2025-11-02,Delivered
196,30,2025-12-01,Delivered
197,63,2025-11-04,Delivered
198,97,2025-12-01,Delivered
199,51,2025-03-22,Cancelled
200,4,2025-05-18,Cancelled
201,74,2025-09-30,Delivered
202,88,2025-03-10,Returned
203,53,2025-07-24,Delivered
204,43,2025-08-28,Delivered
205,23,2025-07-02,Delivered
206,75,2025-01-08,Delivered
207,4,2025-07-03,Delivered
208,96,2025-07-14,Delivered
209,32,2025-03-02,Delivered
210,19,2025-10-04,Delivered
211,92,2025-06-19,Delivered
212,21,2025-11-22,Delivered
213,12,2025-12-12,Cancelled
214,49,2025-03-19,Delivered
215,27,2025-03-14,Delivered
216,47,2025-05-01,Delivered
217,56,2025-12-16,Delivered
218,48,2025-03-02,Delivered
219,36,2025-09-14,Delivered
220,99,2025-09-10,Returned
221,47,2025-05-07,Cancelled
222,14,2025-01-28,Delivered
223,88,2025-12-31,Delivered
224,59,2025-11-08,Delivered
225,3,2025-04-21,Delivered
226,18,2025-10-21,Delivered
227,15,2025-07-11,Delivered
228,28,2025-07-21,Delivered
229,17,2025-08-19,Delivered
230,44,2025-01-25,Cancelled
231,84,2025-01-25,Delivered
232,67,2025-08-21,Delivered
233,100,2025-04-21,Delivered
234,8,2025-08-24,Delivered
235,41,2025-04-11,Delivered
236,26,2025-11-16,Delivered
237,56,2025-11-11,Returned
238,33,2025-05-30,Delivered
239,70,2025-04-22,Delivered
240,75,2025-11-14,Delivered
241,24,2025-11-07,Delivered
242,3,2025-08-31,Delivered
243,36,2025-08-11,Cancelled
244,84,2025-08-08,Cancelled
245,79,2025-05-14,Returned
246,94,2025-03-03,Cancelled
247,79,2025-07-22,Delivered
248,51,2025-06-22,Delivered
249,70,2025-04-28,Delivered
250,84,2025-08-13,Delivered
251,12,2025-02-16,Delivered
252,14,2025-11-16,Delivered
253,11,2025-12-22,Delivered
254,3,2025-06-10,Delivered
255,10,2025-09-18,Delivered
256,44,2025-01-13,Delivered
257,84,2025-11-17,Delivered
258,73,2025-09-30,Delivered
259,15,2025-02-07,Delivered
260,94,2025-04-05,Cancelled
261,62,2025-08-24,Delivered
262,75,2025-05-17,Delivered
263,99,2025-02-04,Cancelled
264,64,2025-03-01,Delivered
265,72,2025-09-24,Delivered
266,14,2025-11-12,Delivered
267,85,2025-06-14,Delivered
268,78,2025-03-03,Delivered
269,42,2025-03-30,Delivered
270,72,2025-10-22,Delivered
271,32,2025-06-28,Delivered
272,97,2025-01-23,Delivered
273,97,2025-06-02,Delivered
274,66,2025-11-05,Cancelled
275,51,2025-02-08,Delivered
276,6,2025-03-08,Delivered
277,72,2025-02-11,Delivered
278,15,2025-04-21,Delivered
279,94,2025-08-19,Delivered
280,29,2025-02-07,Delivered
281,27,2025-10-16,Delivered
282,86,2025-11-18,Delivered
283,74,2025-12-19,Delivered
284,13,2025-06-08,Delivered
285,88,2025-07-03,Delivered
286,8,2025-09-18,Delivered
287,68,2025-11-28,Delivered
288,27,2025-04-05,Delivered
289,36,2025-10-19,Delivered
290,27,2025-03-10,Delivered
291,74,2025-12-26,Delivered
292,72,2025-01-23,Delivered
293,46,2025-12-29,Delivered
294,13,2025-04-14,Delivered
295,89,2025-04-21,Delivered
296,43,2025-12-22,Cancelled
297,5,2025-10-20,Delivered
298,92,2025-10-14,Delivered
299,51,2025-01-29,Delivered
300,41,2025-08-02,Cancelled
