order_item_id,order_id,product_id,quantity,unit_price
229,141,15,2,2999.0
230,142,12,1,1899.05
231,142,19,1,1599.0
232,142,18,2,999.0
233,143,7,2,7000.0
234,143,11,1,759.05
235,144,1,3,65000.0
236,145,29,2,569.05
237,145,2,2,52000.0
238,146,24,1,1048.95
239,146,8,1,1890.0
240,147,6,1,4725.0
241,147,1,1,65000.0
242,148,10,1,1575.0
243,148,13,1,1499.0
244,149,28,1,899.0
245,149,7,1,7350.0
246,150,19,2,1678.95
247,151,16,2,2623.95
248,152,23,1,699.0
249,153,10,1,1575.0
250,153,17,3,1363.95
251,154,28,2,899.0
252,155,2,1,52000.0
253,155,1,1,65000.0
254,156,13,3,1424.05
255,157,29,1,599.0
256,157,8,3,1890.0
257,158,21,2,854.05
258,158,27,3,699.0
259,158,8,2,1800.0
260,159,5,2,3500.0
261,160,27,1,699.0
262,160,13,3,1424.05
263,161,3,1,32000.0
264,161,11,2,799.0
265,161,15,2,2999.0
266,162,23,2,664.05
267,163,9,2,5225.0
268,164,18,3,1048.95
269,165,26,3,838.95
270,166,22,2,5248.95
271,167,10,1,1425.0
272,168,9,2,5225.0
273,168,5,2,3500.0
274,168,25,1,3799.05
275,169,12,1,1899.05
276,169,19,1,1599.0
277,170,15,1,2999.0
278,170,4,1,23100.0
279,171,14,2,1799.0
280,172,1,2,68250.0
281,173,30,1,1048.95
282,173,1,3,65000.0
283,174,18,1,999.0
284,175,28,1,899.0
285,175,1,1,61750.0
286,176,29,1,569.05
287,176,18,2,1048.95
288,177,24,3,999.0
289,178,29,1,569.05
290,178,15,1,2999.0
291,179,14,3,1799.0
292,179,15,1,2849.05
293,180,21,1,899.0
294,181,15,2,3148.95
295,182,13,2,1424.05
296,183,17,2,1234.05
297,184,11,2,799.0
298,184,23,1,664.05
299,184,8,2,1710.0
300,185,4,3,23100.0
301,185,8,1,1800.0
302,186,6,3,4725.0
303,187,22,1,4999.0
304,188,11,2,799.0
305,188,6,1,4275.0
306,189,9,3,5500.0
307,190,13,2,1573.95
308,190,20,1,1299.0
309,191,11,3,838.95
310,192,28,2,854.05
311,193,4,1,22000.0
312,194,27,2,733.95
313,194,20,1,1234.05
314,195,5,1,3675.0
315,195,4,2,22000.0
316,196,8,1,1800.0
317,196,3,1,30400.0
318,196,29,1,628.95
319,197,15,1,2999.0
320,198,1,2,65000.0
321,198,27,2,664.05
322,199,2,2,52000.0
323,199,17,1,1299.0
324,200,15,1,2999.0
325,200,11,2,799.0
326,200,13,1,1424.05
327,201,16,1,2499.0
328,202,30,3,999.0
329,202,24,1,1048.95
330,202,17,1,1299.0
331,203,22,1,5248.95
332,203,18,2,1048.95
333,204,6,2,4275.0
334,204,30,1,999.0
335,205,3,1,32000.0
336,206,3,3,32000.0
337,206,2,2,49400.0
338,207,23,1,699.0
339,208,13,2,1499.0
340,208,23,1,699.0
341,208,3,1,30400.0
342,209,14,2,1709.05
343,209,28,2,899.0
344,210,21,1,943.95
345,210,17,1,1234.05
346,210,10,2,1500.0
347,211,13,3,1499.0
348,212,25,2,3999.0
349,213,18,2,949.05
350,214,4,3,22000.0
351,215,30,3,999.0
352,215,12,3,1999.0
353,216,26,1,759.05
354,216,14,1,1888.95
355,217,16,1,2499.0
356,217,17,1,1299.0
357,218,13,1,1424.05
358,219,8,1,1890.0
359,219,20,2,1363.95
360,220,29,1,599.0
361,221,24,1,949.05
362,222,18,3,1048.95
363,222,15,2,2849.05
364,223,7,1,7350.0
365,223,5,1,3500.0
366,224,6,2,4275.0
367,225,15,1,2999.0
368,225,2,3,52000.0
369,226,23,1,699.0
370,227,22,1,4999.0
371,227,26,3,799.0
372,228,22,2,5248.95
373,229,7,1,7000.0
374,229,11,2,799.0
375,230,25,1,3999.0
376,230,4,2,22000.0
377,230,30,2,949.05
378,231,19,1,1599.0
379,232,2,1,49400.0
380,233,23,3,699.0
381,234,1,1,65000.0
382,234,24,1,1048.95
383,234,6,1,4500.0
384,235,15,1,3148.95
385,236,15,1,2999.0
386,237,16,1,2499.0
387,237,6,1,4500.0
388,237,28,1,899.0
389,238,8,3,1800.0
390,239,26,2,799.0
391,239,6,2,4275.0
392,240,8,2,1710.0
393,240,28,3,899.0
394,240,6,1,4500.0
395,241,30,1,1048.95
396,242,4,1,23100.0
397,243,15,2,2999.0
398,243,2,1,52000.0
399,243,1,1,68250.0
400,244,10,2,1500.0
401,244,21,1,943.95
402,245,26,1,838.95
403,245,28,1,899.0
404,246,19,3,1599.0
405,246,21,1,899.0
406,246,20,2,1299.0
407,247,26,1,799.0
408,247,16,2,2374.05
409,248,2,3,49400.0
410,249,21,1,943.95
411,250,20,2,1363.95
412,251,28,1,899.0
413,252,7,3,6650.0
414,252,26,1,838.95
415,252,4,1,20900.0
416,253,16,1,2374.05
417,254,6,1,4500.0
418,255,4,1,20900.0
419,255,15,3,2999.0
420,256,24,1,999.0
421,257,14,1,1709.05
422,258,21,2,899.0
423,259,21,2,899.0
424,260,3,1,32000.0
425,261,6,2,4500.0
426,262,23,3,733.95
427,262,24,1,999.0
428,263,12,2,1899.05
429,264,30,1,999.0
430,264,12,3,1999.0
431,265,10,1,1500.0
432,266,14,2,1799.0
433,267,21,1,943.95
434,268,21,2,943.95
435,268,19,2,1599.0
436,269,29,1,599.0
437,269,7,2,7350.0
438,270,23,2,733.95
439,271,21,2,854.05
440,271,24,1,949.05
441,272,26,1,799.0
442,272,8,2,1710.0
443,272,21,1,854.05
444,273,19,2,1599.0
445,273,3,1,33600.0
446,273,8,3,1890.0
447,274,11,2,838.95
448,275,22,1,4749.05
449,276,21,2,943.95
450,277,5,1,3500.0
451,277,22,2,5248.95
452,278,11,3,799.0
453,279,24,2,999.0
454,279,27,3,699.0
455,279,19,2,1519.05
456,280,2,2,54600.0
457,281,29,1,628.95
458,282,29,3,599.0
459,283,17,1,1299.0
460,284,6,1,4725.0
461,285,7,1,7000.0
462,286,13,3,1499.0
463,286,24,1,949.05
464,286,6,1,4500.0
465,287,27,2,699.0
466,288,8,2,1800.0
467,288,18,1,999.0
468,289,22,1,4999.0
469,290,23,1,733.95
470,291,30,2,999.0
471,292,16,1,2623.95
472,293,28,1,899.0
473,294,3,1,33600.0
474,294,12,1,1999.0
475,295,29,3,599.0
476,295,21,1,899.0
477,296,18,1,999.0
478,297,11,1,799.0
479,298,15,1,2999.0
480,299,8,1,1800.0
481,300,12,1,2098.95
482,300,8,1,1710.0
