payment_id,order_id,payment_method,payment_status,payment_date
123,123,Credit Card,Success,2025-08-12
124,124,Debit Card,Success,2025-01-15
125,125,Credit Card,Success,2025-12-27
126,126,Credit Card,Success,2025-03-26
127,127,Net Banking,Success,2025-07-06
128,128,UPI,Success,2025-08-22
129,129,Cash on Delivery,Refunded,2025-10-11
130,130,Debit Card,Success,2025-12-06
131,131,Cash on Delivery,Success,2025-03-10
132,132,Cash on Delivery,Success,2025-02-22
133,133,UPI,Success,2025-02-09
134,134,Cash on Delivery,Success,2025-07-05
135,135,UPI,Success,2025-05-04
136,136,UPI,Success,2025-08-09
137,137,UPI,Success,2025-08-29
138,138,UPI,Success,2025-09-10
139,139,Net Banking,Success,2025-05-23
140,140,Credit Card,Success,2025-10-11
141,141,Debit Card,Success,2025-01-30
142,142,UPI,Success,2025-05-18
143,143,Net Banking,Success,2025-12-09
144,144,Credit Card,Success,2025-08-05
145,145,UPI,Success,2025-03-11
146,146,Cash on Delivery,Success,2026-01-01
147,147,Credit Card,Refunded,2025-07-21
148,148,UPI,Success,2025-05-08
149,149,Debit Card,Success,2025-08-30
150,150,Debit Card,Success,2025-05-28
151,151,Credit Card,Success,2025-12-28
152,152,UPI,Refunded,2025-12-16
153,153,Credit Card,Success,2025-11-08
154,154,Credit Card,Success,2025-02-28
155,155,Cash on Delivery,Success,2025-06-23
156,156,Net Banking,Success,2025-03-23
157,157,UPI,Success,2025-09-09
158,158,UPI,Refunded,2025-05-29
159,159,UPI,Success,2025-02-16
160,160,Cash on Delivery,Success,2025-05-23
161,161,Credit Card,Failed,2025-09-16
162,162,Debit Card,Refunded,2025-01-12
163,163,Credit Card,Success,2025-12-24
164,164,UPI,Success,2025-01-09
165,165,Debit Card,Success,2025-04-01
166,166,UPI,Success,2025-06-28
167,167,Credit Card,Refunded,2025-08-18
168,168,Debit Card,Success,2025-05-25
169,169,Debit Card,Success,2025-08-08
170,170,UPI,Success,2025-02-16
171,171,UPI,Success,2025-03-25
172,172,Debit Card,Refunded,2025-10-30
173,173,Debit Card,Failed,2025-11-08
174,174,Debit Card,Success,2025-04-29
175,175,UPI,Refunded,2025-05-26
176,176,UPI,Success,2025-09-26
177,177,Net Banking,Refunded,2025-08-07
178,178,Cash on Delivery,Success,2025-06-27
179,179,Cash on Delivery,Success,2025-04-15
180,180,Cash on Delivery,Success,2025-11-07
181,181,UPI,Refunded,2025-07-18
182,182,UPI,Success,2025-01-25
183,183,Credit Card,Success,2025-07-23
184,184,UPI,Success,2025-03-28
185,185,UPI,Success,2025-02-22
186,186,UPI,Success,2025-10-16
187,187,Debit Card,Success,2025-03-13
188,188,UPI,Success,2025-04-28
189,189,UPI,Success,2025-09-27
190,190,Credit Card,Success,2025-08-12
191,191,UPI,Success,2025-04-24
192,192,Credit Card,Success,2025-07-27
193,193,Net Banking,Success,2025-03-07
194,194,UPI,Success,2025-07-11
195,195,UPI,Success,2025-11-03
196,196,Debit Card,Success,2025-12-02
197,197,Debit Card,Success,2025-11-06
198,198,UPI,Success,2025-12-03
199,199,UPI,Refunded,2025-03-24
200,200,Net Banking,Failed,2025-05-19
201,201,Credit Card,Success,2025-10-01
202,202,Credit Card,Refunded,2025-03-12
203,203,Cash on Delivery,Success,2025-07-26
204,204,Debit Card,Success,2025-08-29
205,205,Credit Card,Success,2025-07-02
206,206,UPI,Success,2025-01-10
207,207,UPI,Success,2025-07-04
208,208,Credit Card,Success,2025-07-15
209,209,UPI,Success,2025-03-04
210,210,Credit Card,Success,2025-10-06
211,211,Credit Card,Success,2025-06-20
212,212,UPI,Success,2025-11-22
213,213,Net Banking,Failed,2025-12-13
214,214,Credit Card,Success,2025-03-20
215,215,UPI,Success,2025-03-15
216,216,UPI,Success,2025-05-01
217,217,UPI,Success,2025-12-18
218,218,UPI,Success,2025-03-03
219,219,Credit Card,Success,2025-09-14
220,220,UPI,Refunded,2025-09-10
221,221,UPI,Refunded,2025-05-07
222,222,Credit Card,Success,2025-01-28
223,223,Net Banking,Success,2026-01-01
224,224,UPI,Success,2025-11-08
225,225,Debit Card,Success,2025-04-21
226,226,Net Banking,Success,2025-10-22
227,227,Credit Card,Success,2025-07-13
228,228,UPI,Success,2025-07-21
229,229,Credit Card,Success,2025-08-19
230,230,Debit Card,Refunded,2025-01-26
231,231,UPI,Success,2025-01-25
232,232,Debit Card,Success,2025-08-23
233,233,Credit Card,Success,2025-04-21
234,234,Net Banking,Success,2025-08-24
235,235,UPI,Success,2025-04-12
236,236,UPI,Success,2025-11-17
237,237,UPI,Refunded,2025-11-13
238,238,Debit Card,Success,2025-05-30
239,239,Credit Card,Success,2025-04-23
240,240,Debit Card,Success,2025-11-14
241,241,Debit Card,Success,2025-11-09
242,242,Cash on Delivery,Success,2025-09-01
243,243,Credit Card,Refunded,2025-08-11
244,244,UPI,Refunded,2025-08-10
245,245,UPI,Refunded,2025-05-14
246,246,Credit Card,Refunded,2025-03-03
247,247,UPI,Success,2025-07-23
248,248,Net Banking,Success,2025-06-22
249,249,UPI,Success,2025-04-29
250,250,UPI,Success,2025-08-15
251,251,UPI,Success,2025-02-16
252,252,Debit Card,Success,2025-11-18
253,253,UPI,Success,2025-12-22
254,254,Cash on Delivery,Success,2025-06-11
255,255,Credit Card,Success,2025-09-20
256,256,UPI,Success,2025-01-13
257,257,Credit Card,Success,2025-11-19
258,258,UPI,Success,2025-09-30
259,259,Credit Card,Success,2025-02-09
260,260,Credit Card,Failed,2025-04-05
261,261,Debit Card,Success,2025-08-26
262,262,Credit Card,Success,2025-05-18
263,263,Credit Card,Refunded,2025-02-05
264,264,Credit Card,Success,2025-03-03
265,265,Net Banking,Success,2025-09-26
266,266,UPI,Success,2025-11-12
267,267,Credit Card,Success,2025-06-15
268,268,Net Banking,Success,2025-03-04
269,269,Net Banking,Success,2025-04-01
270,270,Debit Card,Success,2025-10-24
271,271,Credit Card,Success,2025-06-29
272,272,Net Banking,Success,2025-01-24
273,273,Net Banking,Success,2025-06-03
274,274,UPI,Refunded,2025-11-07
275,275,Credit Card,Success,2025-02-10
276,276,Net Banking,Success,2025-03-10
277,277,Net Banking,Success,2025-02-12
278,278,UPI,Success,2025-04-21
279,279,UPI,Success,2025-08-19
280,280,UPI,Success,2025-02-09
281,281,Credit Card,Success,2025-10-17
282,282,Credit Card,Success,2025-11-20
283,283,UPI,Success,2025-12-19
284,284,Net Banking,Success,2025-06-10
285,285,UPI,Success,2025-07-04
286,286,UPI,Success,2025-09-18
287,287,UPI,Success,2025-11-29
288,288,Credit Card,Success,2025-04-07
289,289,UPI,Success,2025-10-20
290,290,Net Banking,Success,2025-03-12
291,291,Debit Card,Success,2025-12-28
292,292,Credit Card,Success,2025-01-25
293,293,Credit Card,Success,2025-12-30
294,294,Credit Card,Success,2025-04-15
295,295,Debit Card,Success,2025-04-22
296,296,UPI,Refunded,2025-12-22
297,297,Credit Card,Success,2025-10-22
298,298,UPI,Success,2025-10-15
299,299,Debit Card,Success,2025-01-31
300,300,Credit Card,Failed,2025-08-03
